StationNumber,Lat,Lon,Address,State,City,County,Zip
720261,33.183,-97.833,"2411 US-380, Bridgeport, TX 76426, USA",TX,Bridgeport,Wise County,76426
720271,32.217,-101.517,"Perimeter Rd, Big Spring, TX 79720, USA",TX,Big Spring,Howard County,79720
720269,27.2,-98.117,"144 Co Rd 213, Falfurrias, TX 78355, USA",TX,Falfurrias,Brooks County,78355
720273,28.967,-95.867,"4332 FM457, Bay City, TX 77414, USA",TX,Bay City,Matagorda County,77414
720276,26.442,-98.122,"Unnamed Road, Edinburg, TX 78541, USA",TX,Edinburg,Hidalgo County,78541
720281,34.226,-99.284,"Vernon, TX 76384, USA",TX,Vernon,,76384
720286,32.45,-97.817,"2009 Loop 567, Granbury, TX 76048, USA",TX,Granbury,Hood County,76048
720287,33.714,-96.674,"4654 Airport Dr, Denison, TX 75020, USA",TX,Denison,Grayson County,75020
720291,32.75,-96.533,"1350 Airport Blvd, Mesquite, TX 75181, USA",TX,Mesquite,Dallas County,75181
720295,32.083,-97.1,"Airport Blvd, Hillsboro, TX 76645, USA",TX,Hillsboro,Hill County,76645
720299,32.45,-96.917,"691 Rex Odom Dr, Midlothian, TX 76065, USA",TX,Midlothian,Ellis County,76065
720298,31.867,-95.217,"420 Co Rd 1618, Rusk, TX 75785, USA",TX,Rusk,Cherokee County,75785
720296,30.886,-94.035,"131-163 Carnes Manning Dr, Jasper, TX 75951, USA",TX,Jasper,Jasper County,75951
720302,33.593,-96.064,"1257 FM897, Dodd City, TX 75438, USA",TX,Dodd City,Fannin County,75438
720303,30.867,-96.617,"Hearne, TX 77859, USA",TX,Hearne,,77859
720305,33.25,-97.583,"300 E Devereaux St, Decatur, TX 76234, USA",TX,Decatur,Wise County,76234
720311,33.1,-94.967,"12 Southeast, Mt Pleasant, TX 75455, USA",TX,Mount Pleasant,Titus County,75455
720313,35.617,-100.983,"County Line Rd, Pampa, TX 79065, USA",TX,Pampa,Roberts County,79065
720314,31.783,-95.7,"400 Acr 421, Palestine, TX 75803, USA",TX,Palestine,Anderson County,75803
720315,36.417,-100.75,"14535 Co Rd 19, Perryton, TX 79070, USA",TX,Perryton,Ochiltree County,79070
720316,27.783,-97.683,"1004 John Wayne Dr, Robstown, TX 78380, USA",TX,Robstown,Nueces County,78380
720318,33.11,-98.555,"Graham Municipal Airport (RPH), Graham, TX 76450, USA",TX,Graham,Young County,76450
720320,32.35,-97.433,"Woodward St, Cleburne, TX 76033, USA",TX,Cleburne,Johnson County,76033
720323,30.243,-98.909,"115 Airport Rd, Fredericksburg, TX 78624, USA",TX,Fredericksburg,Gillespie County,78624
722042,32.741,-95.496,"311 Co Rd 2355, Mineola, TX 75773, USA",TX,Mineola,Wood County,75773
722094,32.7,-97.05,"2802 Safran Dr, Grand Prairie, TX 75052, USA",TX,Grand Prairie,Tarrant County,75052
